name,stage,groups,table,appendix_table,reuse_from,checkpoint_alias,market_snapshot_alias,correction_scope,status,started_at_utc,finished_at_utc,elapsed_seconds,relative_run_path,file_count,total_bytes,config_digest,device,dtype,python,numpy,torch,cuda_device_count,state_dim,control_dim,brownian_dim
t3_merton_short_d10,pipeline,section5;table3;paper,3,,,merton_short_d10_e500,,unaffected,present,,,,runs_paper_full_shift/t3_merton_short_d10,11,618844,4f0984eaa65d764a,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,10,10
t3_merton_short_d100,pipeline,section5;table3;paper,3,,,merton_short_d100_e500,,unaffected,present,,,,runs_paper_full_shift/t3_merton_short_d100,11,5150448,26cfa9367e49ef9d,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t4_merton_exact_d100,pipeline,exact;section5;table4;paper,4,,,,,unaffected,present,,,,runs_paper_full_shift/t4_merton_exact_d100,10,5105206,3c04b1d75a2c3e50,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t4_merton_learned_d100,pipeline,section5;table4;paper,4,,,merton_short_d100_e500,,unaffected,present,,,,runs_paper_full_shift/t4_merton_learned_d100,11,5144956,9d55323feb666db0,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t5_budget_seed1_e250,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed1_e250,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527687Z,2026-07-24T03:37:35.527713Z,,runs_paper_full_shift/t5_budget_seed1_e250,11,5084535,77e1a12c9caa9c2f,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t5_budget_seed1_e500,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed1_e500,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527720Z,2026-07-24T03:37:35.527727Z,,runs_paper_full_shift/t5_budget_seed1_e500,11,5150512,834e2a5240513ee2,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t5_budget_seed1_e1000,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed1_e1000,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527732Z,2026-07-24T03:37:35.527738Z,,runs_paper_full_shift/t5_budget_seed1_e1000,11,5157774,12ff995926465ca5,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t5_budget_seed2_e250,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed2_e250,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527743Z,2026-07-24T03:37:35.527748Z,,runs_paper_full_shift/t5_budget_seed2_e250,11,5097228,e8c120e4afaad9cb,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t5_budget_seed2_e500,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed2_e500,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527753Z,2026-07-24T03:37:35.527759Z,,runs_paper_full_shift/t5_budget_seed2_e500,11,5146374,693857ede5c0046b,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
t5_budget_seed2_e1000,pipeline,section5;appendix;table5;table14;paper,5,14,,merton_budget_seed2_e1000,merton_budget_market,unaffected,skipped_complete,2026-07-24T03:37:35.527764Z,2026-07-24T03:37:35.527770Z,,runs_paper_full_shift/t5_budget_seed2_e1000,11,5153147,5900011d3c9590aa,cuda,torch.float64,"3.10.12 (main, Jul 29 2024, 16:56:48) [GCC 11.4.0]",2.2.6,2.5.1+cu121,1,1,100,100
