model,estimator,Z_X_nRMSE,zeta_RMSE,zeta_norm,zeta_SE
Merton exact,raw_moment,0.5994565484169684,0.041254731837101696,0.18912940700269276,0.19311540220826948
Merton exact,centered_moment,0.5982152660065171,0.04116955625310892,0.18872995359847816,0.19229976597517082
Merton exact,control_variate,0.0029297869350853626,0.0002074873806103232,0.0007447925256741696,0.0006008754299093391
Merton exact,ols_control_variate,0.00326419961121076,0.0002300391824226202,0.0008239281195411236,0.0006713939023377187
Merton cap exact,raw_moment,0.4386679156988755,0.04961168776526366,0.2647611529094136,0.264838680810631
Merton cap exact,centered_moment,0.4374085227591178,0.04946354115116789,0.2641520318580005,0.2642340168450066
Merton cap exact,control_variate,0.013207818848814838,0.0006500727728812449,0.003198503357141375,0.001636320850005972
Merton cap exact,ols_control_variate,0.013125276302037405,0.0006157761133873828,0.0030184884694088596,0.0011681067033439984
Affine exact canonical,raw_moment,0.08811505190726879,,0.03156513402708983,0.03759109001825394
Affine exact canonical,centered_moment,0.09020994326161984,,0.031944490657763155,0.03740032715566457
Affine exact canonical,control_variate,0.002624118440866538,,0.0006198161188389384,0.0007544225006511755
Affine exact canonical,ols_control_variate,0.0026006234926016334,,0.0006252032191094652,0.0007528178392454749
