model,split,region,N,mean_H_gain,minimum_gain,mean_gap_to_QP,negative_fraction
Merton cap,iid,Upper-active,32,0.006377910291499669,0.0002911594711489,0.00022260960630587814,0.0
Merton cap,iid,Near-switching,4,0.001436680030429125,0.0007268304666392,0.00022110815068795,0.0
Merton cap,iid,Far-interior,28,0.05131706722812835,0.0022545064251218,0.00022146388953960355,0.0
Merton cap,wealth_edge,Upper-active,31,0.04362307072948458,0.0002396330827848,0.00022270135584784192,0.0
Merton cap,wealth_edge,Near-switching,4,0.004389329156781949,0.0005214360541954,0.00022106865720784998,0.0
Merton cap,wealth_edge,Far-interior,29,0.0632544734563726,0.006783330422994,0.0002220580921942069,0.0
Merton cap,stress,Upper-active,32,0.15169190105749225,0.0002192745321766,0.00022113415309259999,0.0
Merton cap,stress,Far-interior,32,0.2563263285433349,0.0488067450855922,0.00022217561118403748,0.0
Liu--Kim--Omberg cap,iid,Upper-active,33,0.02788572527411815,0.000608693028877,0.0002592741087121,0.0
Liu--Kim--Omberg cap,iid,Near-switching,6,0.032828597639018124,0.0044941958731057,0.0002583185255094833,0.0
Liu--Kim--Omberg cap,iid,Far-interior,25,0.09252256972010574,0.0067113239852525,0.000255947288337992,0.0
Liu--Kim--Omberg cap,wealth_edge,Upper-active,33,0.07690043973771331,0.0004569041825633,0.00025935551951975763,0.0
Liu--Kim--Omberg cap,wealth_edge,Near-switching,6,0.06698513333697902,0.00547992079609,0.00025869627291990005,0.0
Liu--Kim--Omberg cap,wealth_edge,Far-interior,25,0.17982593867287175,0.0064050724907862,0.000256393187447376,0.0
Liu--Kim--Omberg cap,factor_edge,Upper-active,34,0.16577798254724804,0.0394292983412259,0.0002848613611884412,0.0
Liu--Kim--Omberg cap,factor_edge,Near-switching,8,0.23113190950810408,0.0774829099838156,0.00028214326129026254,0.0
Liu--Kim--Omberg cap,factor_edge,Far-interior,22,0.3923173818389181,0.0892444925629988,0.0002819133212959954,0.0
Liu--Kim--Omberg cap,stress,Upper-active,32,0.36507699478702277,0.0616453051478714,0.00028468932754643125,0.0
Liu--Kim--Omberg cap,stress,Far-interior,32,1.0316512098011597,0.2174233903483314,0.0002817579332101969,0.0
